translation "Kitchen knife","Coltello da cucina"
translation "UniqueBelt12","CinturaUnica8"
translation "UniqueBelt13","CinturaUnica13"
translation "UniqueBelt14","CinturaUnica14"
translation "UniqueBelt15","CinturaUnica15"
translation "UniqueBelt16","CinturaUnica16"
translation "UniqueBelt17","CinturaUnica17"
translation "UniqueBelt18","CinturaUnica18"
translation "UniqueBelt19","CinturaUnica19"
translation "UniqueBelt20","CinturaUnica20"
translation "Prefix_Magic_Damage_Weapon_Small","Prefix_Magic_Damage_Weapon_Small"
translation "Prefix_Magic_Damage_Weapon_Medium","Prefix_Magic_Damage_Weapon_Medium"
translation "Prefix_Magic_Damage_Weapon_Larger","Prefix_Magic_Damage_Weapon_Larger"
translation "Prefix_Magic_Damage_Weapon_Largest","Prefix_Magic_Damage_Weapon_Largest"
translation "Suffix_Magic_Damage_Weapon_Small","Suffix_Magic_Damage_Weapon_Small"
translation "Suffix_Magic_Damage_Weapon_Medium","Suffix_Magic_Damage_Weapon_Medium"
translation "Suffix_Magic_Damage_Weapon_Larger","Suffix_Magic_Damage_Weapon_Larger"
translation "Suffix_Magic_Damage_Weapon_Largest","Suffix_Magic_Damage_Weapon_Largest"
translation "Prefix_Magic_Accuracy_Weapon_Small","Prefix_Magic_Accuracy_Weapon_Small"
translation "Prefix_Magic_Accuracy_Weapon_Medium","Prefix_Magic_Accuracy_Weapon_Medium"
translation "Prefix_Magic_Accuracy_Weapon_Larger","Prefix_Magic_Accuracy_Weapon_Larger"
translation "Prefix_Magic_Accuracy_Weapon_Largest","Prefix_Magic_Accuracy_Weapon_Largest"
translation "Suffix_Magic_Accuracy_Weapon_Small","Suffix_Magic_Accuracy_Weapon_Small"
translation "Suffix_Magic_Accuracy_Weapon_Medium","Suffix_Magic_Accuracy_Weapon_Medium"
translation "Suffix_Magic_Accuracy_Weapon_Larger","Suffix_Magic_Accuracy_Weapon_Larger"
translation "Suffix_Magic_Accuracy_Weapon_Largest","Suffix_Magic_Accuracy_Weapon_Largest"
translation "Prefix_Magic_Speed_Weapon_Small","Prefix_Magic_Speed_Weapon_Small"
translation "Prefix_Magic_Speed_Weapon_Medium","Prefix_Magic_Speed_Weapon_Medium"
translation "Prefix_Magic_Speed_Weapon_Larger","Prefix_Magic_Speed_Weapon_Larger"
translation "Prefix_Magic_Speed_Weapon_Largest","Prefix_Magic_Speed_Weapon_Largest"
translation "Suffix_Magic_Speed_Weapon_Small","Suffix_Magic_Speed_Weapon_Small"
translation "Suffix_Magic_Speed_Weapon_Medium","Suffix_Magic_Speed_Weapon_Medium"
translation "Suffix_Magic_Speed_Weapon_Larger","Suffix_Magic_Speed_Weapon_Larger"
translation "Suffix_Magic_Speed_Weapon_Largest","Suffix_Magic_Speed_Weapon_Largest"
translation "Prefix_Magic_Initiative_Weapon_Small","Prefix_Magic_Initiative_Weapon_Small"
translation "Prefix_Magic_Initiative_Weapon_Medium","Prefix_Magic_Initiative_Weapon_Medium"
translation "Prefix_Magic_Initiative_Weapon_Larger","Prefix_Magic_Initiative_Weapon_Larger"
translation "Prefix_Magic_Initiative_Weapon_Largest","Prefix_Magic_Initiative_Weapon_Largest"
translation "Suffix_Magic_Initiative_Weapon_Small","Suffix_Magic_Initiative_Weapon_Small"
translation "Suffix_Magic_Initiative_Weapon_Medium","Suffix_Magic_Initiative_Weapon_Medium"
translation "Suffix_Magic_Initiative_Weapon_Larger","Suffix_Magic_Initiative_Weapon_Larger"
translation "Suffix_Magic_Initiative_Weapon_Largest","Suffix_Magic_Initiative_Weapon_Largest"
translation "Prefix_Magic_Durability_Weapon_Small","Prefix_Magic_Durability_Weapon_Small"
translation "Prefix_Magic_Durability_Weapon_Medium","Prefix_Magic_Durability_Weapon_Medium"
translation "Prefix_Magic_Durability_Weapon_Larger","Prefix_Magic_Durability_Weapon_Larger"
translation "Prefix_Magic_Durability_Weapon_Largest","Prefix_Magic_Durability_Weapon_Largest"
translation "Suffix_Magic_Durability_Weapon_Small","Suffix_Magic_Durability_Weapon_Small"
translation "Suffix_Magic_Durability_Weapon_Medium","Suffix_Magic_Durability_Weapon_Medium"
translation "Suffix_Magic_Durability_Weapon_Larger","Suffix_Magic_Durability_Weapon_Larger"
translation "Suffix_Magic_Durability_Weapon_Largest","Suffix_Magic_Durability_Weapon_Largest"
translation "Prefix_Magic_Value_Weapon_Small","Prefix_Magic_Value_Weapon_Small"
translation "Prefix_Magic_Value_Weapon_Medium","Prefix_Magic_Value_Weapon_Medium"
translation "Prefix_Magic_Value_Weapon_Larger","Prefix_Magic_Value_Weapon_Larger"
translation "Prefix_Magic_Value_Weapon_Largest","Prefix_Magic_Value_Weapon_Largest"
translation "Suffix_Magic_Value_Weapon_Small","Suffix_Magic_Value_Weapon_Small"
translation "Suffix_Magic_Value_Weapon_Medium","Suffix_Magic_Value_Weapon_Medium"
translation "Suffix_Magic_Value_Weapon_Larger","Suffix_Magic_Value_Weapon_Larger"
translation "Suffix_Magic_Value_Weapon_Largest","Suffix_Magic_Value_Weapon_Largest"
translation "Prefix_Magic_Strength_Weapon_Small","Prefix_Magic_Strength_Weapon_Small"
translation "Prefix_Magic_Strength_Weapon_Medium","Prefix_Magic_Strength_Weapon_Medium"
translation "Prefix_Magic_Strength_Weapon_Larger","Prefix_Magic_Strength_Weapon_Larger"
translation "Prefix_Magic_Strength_Weapon_Largest","Prefix_Magic_Strength_Weapon_Largest"
translation "Suffix_Magic_Strength_Weapon_Small","Suffix_Magic_Strength_Weapon_Small"
translation "Suffix_Magic_Strength_Weapon_Medium","Suffix_Magic_Strength_Weapon_Medium"
translation "Suffix_Magic_Strength_Weapon_Larger","Suffix_Magic_Strength_Weapon_Larger"
translation "Suffix_Magic_Strength_Weapon_Largest","Suffix_Magic_Strength_Weapon_Largest"
translation "Prefix_Magic_Agility_Weapon_Small","Prefix_Magic_Agility_Weapon_Small"
translation "Prefix_Magic_Agility_Weapon_Medium","Prefix_Magic_Agility_Weapon_Medium"
translation "Prefix_Magic_Agility_Weapon_Larger","Prefix_Magic_Agility_Weapon_Larger"
translation "Prefix_Magic_Agility_Weapon_Largest","Prefix_Magic_Agility_Weapon_Largest"
translation "Suffix_Magic_Agility_Weapon_Small","Suffix_Magic_Agility_Weapon_Small"
translation "Suffix_Magic_Agility_Weapon_Medium","Suffix_Magic_Agility_Weapon_Medium"
translation "Suffix_Magic_Agility_Weapon_Larger","Suffix_Magic_Agility_Weapon_Larger"
translation "Suffix_Magic_Agility_Weapon_Largest","Suffix_Magic_Agility_Weapon_Largest"
translation "Prefix_Magic_Intelligence_Weapon_Small","Prefix_Magic_Intelligence_Weapon_Small"
translation "Prefix_Magic_Intelligence_Weapon_Medium","Prefix_Magic_Intelligence_Weapon_Medium"
translation "Prefix_Magic_Intelligence_Weapon_Larger","Prefix_Magic_Intelligence_Weapon_Larger"
translation "Prefix_Magic_Intelligence_Weapon_Largest","Prefix_Magic_Intelligence_Weapon_Largest"
translation "Suffix_Magic_Intelligence_Weapon_Small","Suffix_Magic_Intelligence_Weapon_Small"
translation "Suffix_Magic_Intelligence_Weapon_Medium","Suffix_Magic_Intelligence_Weapon_Medium"
translation "Suffix_Magic_Intelligence_Weapon_Larger","Suffix_Magic_Intelligence_Weapon_Larger"
translation "Suffix_Magic_Intelligence_Weapon_Largest","Suffix_Magic_Intelligence_Weapon_Largest"
translation "Prefix_Magic_Survival_Weapon_Small","Prefix_Magic_Survival_Weapon_Small"
translation "Prefix_Magic_Survival_Weapon_Medium","Prefix_Magic_Survival_Weapon_Medium"
translation "Prefix_Magic_Survival_Weapon_Larger","Prefix_Magic_Survival_Weapon_Larger"
translation "Prefix_Magic_Survival_Weapon_Largest","Prefix_Magic_Survival_Weapon_Largest"
translation "Suffix_Magic_Survival_Weapon_Small","Suffix_Magic_Survival_Weapon_Small"
translation "Suffix_Magic_Survival_Weapon_Medium","Suffix_Magic_Survival_Weapon_Medium"
translation "Suffix_Magic_Survival_Weapon_Larger","Suffix_Magic_Survival_Weapon_Larger"
translation "Suffix_Magic_Survival_Weapon_Largest","Suffix_Magic_Survival_Weapon_Largest"
translation "Prefix_Magic_Constitution_Weapon_Small","Prefix_Magic_Constitution_Weapon_Small"
translation "Prefix_Magic_Constitution_Weapon_Medium","Prefix_Magic_Constitution_Weapon_Medium"
translation "Prefix_Magic_Constitution_Weapon_Larger","Prefix_Magic_Constitution_Weapon_Larger"
translation "Prefix_Magic_Constitution_Weapon_Largest","Prefix_Magic_Constitution_Weapon_Largest"
translation "Suffix_Magic_Constitution_Weapon_Small","Suffix_Magic_Constitution_Weapon_Small"
translation "Suffix_Magic_Constitution_Weapon_Medium","Suffix_Magic_Constitution_Weapon_Medium"
translation "Suffix_Magic_Constitution_Weapon_Larger","Suffix_Magic_Constitution_Weapon_Larger"
translation "Suffix_Magic_Constitution_Weapon_Largest","Suffix_Magic_Constitution_Weapon_Largest"
translation "Prefix_Magic_Luck_Weapon_Small","Prefix_Magic_Luck_Weapon_Small"
translation "Prefix_Magic_Luck_Weapon_Medium","Prefix_Magic_Luck_Weapon_Medium"
translation "Prefix_Magic_Luck_Weapon_Larger","Prefix_Magic_Luck_Weapon_Larger"
translation "Prefix_Magic_Luck_Weapon_Largest","Prefix_Magic_Luck_Weapon_Largest"
translation "Suffix_Magic_Luck_Weapon_Small","Suffix_Magic_Luck_Weapon_Small"
translation "Suffix_Magic_Luck_Weapon_Medium","Suffix_Magic_Luck_Weapon_Medium"
translation "Suffix_Magic_Luck_Weapon_Larger","Suffix_Magic_Luck_Weapon_Larger"
translation "Suffix_Magic_Luck_Weapon_Largest","Suffix_Magic_Luck_Weapon_Largest"
translation "Prefix_Magic_Regeneration_Weapon_Small","Prefix_Magic_Regeneration_Weapon_Small"
translation "Prefix_Magic_Regeneration_Weapon_Medium","Prefix_Magic_Regeneration_Weapon_Medium"
translation "Prefix_Magic_Regeneration_Weapon_Larger","Prefix_Magic_Regeneration_Weapon_Larger"
translation "Prefix_Magic_Regeneration_Weapon_Largest","Prefix_Magic_Regeneration_Weapon_Largest"
translation "Suffix_Magic_Regeneration_Weapon_Small","Suffix_Magic_Regeneration_Weapon_Small"
translation "Suffix_Magic_Regeneration_Weapon_Medium","Suffix_Magic_Regeneration_Weapon_Medium"
translation "Suffix_Magic_Regeneration_Weapon_Larger","Suffix_Magic_Regeneration_Weapon_Larger"
translation "Suffix_Magic_Regeneration_Weapon_Largest","Suffix_Magic_Regeneration_Weapon_Largest"
translation "Prefix_Magic_Stamina_Weapon_Small","Prefix_Magic_Stamina_Weapon_Small"
translation "Prefix_Magic_Stamina_Weapon_Medium","Prefix_Magic_Stamina_Weapon_Medium"
translation "Prefix_Magic_Stamina_Weapon_Larger","Prefix_Magic_Stamina_Weapon_Larger"
translation "Prefix_Magic_Stamina_Weapon_Largest","Prefix_Magic_Stamina_Weapon_Largest"
translation "Suffix_Magic_Stamina_Weapon_Small","Suffix_Magic_Stamina_Weapon_Small"
translation "Suffix_Magic_Stamina_Weapon_Medium","Suffix_Magic_Stamina_Weapon_Medium"
translation "Suffix_Magic_Stamina_Weapon_Larger","Suffix_Magic_Stamina_Weapon_Larger"
translation "Suffix_Magic_Stamina_Weapon_Largest","Suffix_Magic_Stamina_Weapon_Largest"
translation "Prefix_Magic_FireResistance_Weapon_Small","Prefix_Magic_FireResistance_Weapon_Small"
translation "Prefix_Magic_FireResistance_Weapon_Medium","Prefix_Magic_FireResistance_Weapon_Medium"
translation "Prefix_Magic_FireResistance_Weapon_Larger","Prefix_Magic_FireResistance_Weapon_Larger"
translation "Prefix_Magic_FireResistance_Weapon_Largest","Prefix_Magic_FireResistance_Weapon_Largest"
translation "Suffix_Magic_FireResistance_Weapon_Small","Suffix_Magic_FireResistance_Weapon_Small"
translation "Suffix_Magic_FireResistance_Weapon_Medium","Suffix_Magic_FireResistance_Weapon_Medium"
translation "Suffix_Magic_FireResistance_Weapon_Larger","Suffix_Magic_FireResistance_Weapon_Larger"
translation "Suffix_Magic_FireResistance_Weapon_Largest","Suffix_Magic_FireResistance_Weapon_Largest"
translation "Prefix_Magic_EarthResistance_Weapon_Small","Prefix_Magic_EarthResistance_Weapon_Small"
translation "Prefix_Magic_EarthResistance_Weapon_Medium","Prefix_Magic_EarthResistance_Weapon_Medium"
translation "Prefix_Magic_EarthResistance_Weapon_Larger","Prefix_Magic_EarthResistance_Weapon_Larger"
translation "Prefix_Magic_EarthResistance_Weapon_Largest","Prefix_Magic_EarthResistance_Weapon_Largest"
translation "Suffix_Magic_EarthResistance_Weapon_Small","Suffix_Magic_EarthResistance_Weapon_Small"
translation "Suffix_Magic_EarthResistance_Weapon_Medium","Suffix_Magic_EarthResistance_Weapon_Medium"
translation "Suffix_Magic_EarthResistance_Weapon_Larger","Suffix_Magic_EarthResistance_Weapon_Larger"
translation "Suffix_Magic_EarthResistance_Weapon_Largest","Suffix_Magic_EarthResistance_Weapon_Largest"
translation "Prefix_Magic_WaterResistance_Weapon_Small","Prefix_Magic_WaterResistance_Weapon_Small"
translation "Prefix_Magic_WaterResistance_Weapon_Medium","Prefix_Magic_WaterResistance_Weapon_Medium"
translation "Prefix_Magic_WaterResistance_Weapon_Larger","Prefix_Magic_WaterResistance_Weapon_Larger"
translation "Prefix_Magic_WaterResistance_Weapon_Largest","Prefix_Magic_WaterResistance_Weapon_Largest"
translation "Suffix_Magic_WaterResistance_Weapon_Small","Suffix_Magic_WaterResistance_Weapon_Small"
translation "Suffix_Magic_WaterResistance_Weapon_Medium","Suffix_Magic_WaterResistance_Weapon_Medium"
translation "Suffix_Magic_WaterResistance_Weapon_Larger","Suffix_Magic_WaterResistance_Weapon_Larger"
translation "Suffix_Magic_WaterResistance_Weapon_Largest","Suffix_Magic_WaterResistance_Weapon_Largest"
translation "Prefix_Magic_AirResistance_Weapon_Small","Prefix_Magic_AirResistance_Weapon_Small"
translation "Prefix_Magic_AirResistance_Weapon_Medium","Prefix_Magic_AirResistance_Weapon_Medium"
translation "Prefix_Magic_AirResistance_Weapon_Larger","Prefix_Magic_AirResistance_Weapon_Larger"
translation "Prefix_Magic_AirResistance_Weapon_Largest","Prefix_Magic_AirResistance_Weapon_Largest"
translation "Suffix_Magic_AirResistance_Weapon_Small","Suffix_Magic_AirResistance_Weapon_Small"
translation "Suffix_Magic_AirResistance_Weapon_Medium","Suffix_Magic_AirResistance_Weapon_Medium"
translation "Suffix_Magic_AirResistance_Weapon_Larger","Suffix_Magic_AirResistance_Weapon_Larger"
translation "Suffix_Magic_AirResistance_Weapon_Largest","Suffix_Magic_AirResistance_Weapon_Largest"
translation "Prefix_Magic_PoisonResistance_Weapon_Small","Prefix_Magic_PoisonResistance_Weapon_Small"
translation "Prefix_Magic_PoisonResistance_Weapon_Medium","Prefix_Magic_PoisonResistance_Weapon_Medium"
translation "Prefix_Magic_PoisonResistance_Weapon_Larger","Prefix_Magic_PoisonResistance_Weapon_Larger"
translation "Prefix_Magic_PoisonResistance_Weapon_Largest","Prefix_Magic_PoisonResistance_Weapon_Largest"
translation "Suffix_Magic_PoisonResistance_Weapon_Small","Suffix_Magic_PoisonResistance_Weapon_Small"
translation "Suffix_Magic_PoisonResistance_Weapon_Medium","Suffix_Magic_PoisonResistance_Weapon_Medium"
translation "Suffix_Magic_PoisonResistance_Weapon_Larger","Suffix_Magic_PoisonResistance_Weapon_Larger"
translation "Suffix_Magic_PoisonResistance_Weapon_Largest","Suffix_Magic_PoisonResistance_Weapon_Largest"
translation "Prefix_Magic_SpiritualResistance_Weapon_Small","Prefix_Magic_SpiritualResistance_Weapon_Small"
translation "Prefix_Magic_SpiritualResistance_Weapon_Medium","Prefix_Magic_SpiritualResistance_Weapon_Medium"
translation "Prefix_Magic_SpiritualResistance_Weapon_Larger","Prefix_Magic_SpiritualResistance_Weapon_Larger"
translation "Prefix_Magic_SpiritualResistance_Weapon_Largest","Prefix_Magic_SpiritualResistance_Weapon_Largest"
translation "Suffix_Magic_SpiritualResistance_Weapon_Small","Suffix_Magic_SpiritualResistance_Weapon_Small"
translation "Suffix_Magic_SpiritualResistance_Weapon_Medium","Suffix_Magic_SpiritualResistance_Weapon_Medium"
translation "Suffix_Magic_SpiritualResistance_Weapon_Larger","Suffix_Magic_SpiritualResistance_Weapon_Larger"
translation "Suffix_Magic_SpiritualResistance_Weapon_Largest","Suffix_Magic_SpiritualResistance_Weapon_Largest"
translation "Prefix_Magic_EtherealResistance_Weapon_Small","Prefix_Magic_EtherealResistance_Weapon_Small"
translation "Prefix_Magic_EtherealResistance_Weapon_Medium","Prefix_Magic_EtherealResistance_Weapon_Medium"
translation "Prefix_Magic_EtherealResistance_Weapon_Larger","Prefix_Magic_EtherealResistance_Weapon_Larger"
translation "Prefix_Magic_EtherealResistance_Weapon_Largest","Prefix_Magic_EtherealResistance_Weapon_Largest"
translation "Suffix_Magic_EtherealResistance_Weapon_Small","Suffix_Magic_EtherealResistance_Weapon_Small"
translation "Suffix_Magic_EtherealResistance_Weapon_Medium","Suffix_Magic_EtherealResistance_Weapon_Medium"
translation "Suffix_Magic_EtherealResistance_Weapon_Larger","Suffix_Magic_EtherealResistance_Weapon_Larger"
translation "Suffix_Magic_EtherealResistance_Weapon_Largest","Suffix_Magic_EtherealResistance_Weapon_Largest"
translation "Prefix_Magic_PiercingResistance_Weapon_Small","Prefix_Magic_PiercingResistance_Weapon_Small"
translation "Prefix_Magic_PiercingResistance_Weapon_Medium","Prefix_Magic_PiercingResistance_Weapon_Medium"
translation "Prefix_Magic_PiercingResistance_Weapon_Larger","Prefix_Magic_PiercingResistance_Weapon_Larger"
translation "Prefix_Magic_PiercingResistance_Weapon_Largest","Prefix_Magic_PiercingResistance_Weapon_Largest"
translation "Suffix_Magic_PiercingResistance_Weapon_Small","Suffix_Magic_PiercingResistance_Weapon_Small"
translation "Suffix_Magic_PiercingResistance_Weapon_Medium","Suffix_Magic_PiercingResistance_Weapon_Medium"
translation "Suffix_Magic_PiercingResistance_Weapon_Larger","Suffix_Magic_PiercingResistance_Weapon_Larger"
translation "Suffix_Magic_PiercingResistance_Weapon_Largest","Suffix_Magic_PiercingResistance_Weapon_Largest"
translation "Prefix_Magic_SlashingResistance_Weapon_Small","Prefix_Magic_SlashingResistance_Weapon_Small"
translation "Prefix_Magic_SlashingResistance_Weapon_Medium","Prefix_Magic_SlashingResistance_Weapon_Medium"
translation "Prefix_Magic_SlashingResistance_Weapon_Larger","Prefix_Magic_SlashingResistance_Weapon_Larger"
translation "Prefix_Magic_SlashingResistance_Weapon_Largest","Prefix_Magic_SlashingResistance_Weapon_Largest"
translation "Suffix_Magic_SlashingResistance_Weapon_Small","Suffix_Magic_SlashingResistance_Weapon_Small"
translation "Suffix_Magic_SlashingResistance_Weapon_Medium","Suffix_Magic_SlashingResistance_Weapon_Medium"
translation "Suffix_Magic_SlashingResistance_Weapon_Larger","Suffix_Magic_SlashingResistance_Weapon_Larger"
translation "Suffix_Magic_SlashingResistance_Weapon_Largest","Suffix_Magic_SlashingResistance_Weapon_Largest"
translation "Prefix_Magic_CrushingResistance_Weapon_Small","Prefix_Magic_CrushingResistance_Weapon_Small"
translation "Prefix_Magic_CrushingResistance_Weapon_Medium","Prefix_Magic_CrushingResistance_Weapon_Medium"
translation "Prefix_Magic_CrushingResistance_Weapon_Larger","Prefix_Magic_CrushingResistance_Weapon_Larger"
translation "Prefix_Magic_CrushingResistance_Weapon_Largest","Prefix_Magic_CrushingResistance_Weapon_Largest"
translation "Suffix_Magic_CrushingResistance_Weapon_Small","Suffix_Magic_CrushingResistance_Weapon_Small"
translation "Suffix_Magic_CrushingResistance_Weapon_Medium","Suffix_Magic_CrushingResistance_Weapon_Medium"
translation "Suffix_Magic_CrushingResistance_Weapon_Larger","Suffix_Magic_CrushingResistance_Weapon_Larger"
translation "Suffix_Magic_CrushingResistance_Weapon_Largest","Suffix_Magic_CrushingResistance_Weapon_Largest"
translation "Prefix_Magic_ShadowResistance_Weapon_Small","Prefix_Magic_ShadowResistance_Weapon_Small"
translation "Prefix_Magic_ShadowResistance_Weapon_Medium","Prefix_Magic_ShadowResistance_Weapon_Medium"
translation "Prefix_Magic_ShadowResistance_Weapon_Larger","Prefix_Magic_ShadowResistance_Weapon_Larger"
translation "Prefix_Magic_ShadowResistance_Weapon_Largest","Prefix_Magic_ShadowResistance_Weapon_Largest"
translation "Suffix_Magic_ShadowResistance_Weapon_Small","Suffix_Magic_ShadowResistance_Weapon_Small"
translation "Suffix_Magic_ShadowResistance_Weapon_Medium","Suffix_Magic_ShadowResistance_Weapon_Medium"
translation "Suffix_Magic_ShadowResistance_Weapon_Larger","Suffix_Magic_ShadowResistance_Weapon_Larger"
translation "Suffix_Magic_ShadowResistance_Weapon_Largest","Suffix_Magic_ShadowResistance_Weapon_Largest"
translation "Prefix_Magic_BoneResistance_Weapon_Small","Prefix_Magic_BoneResistance_Weapon_Small"
translation "Prefix_Magic_BoneResistance_Weapon_Medium","Prefix_Magic_BoneResistance_Weapon_Medium"
translation "Prefix_Magic_BoneResistance_Weapon_Larger","Prefix_Magic_BoneResistance_Weapon_Larger"
translation "Prefix_Magic_BoneResistance_Weapon_Largest","Prefix_Magic_BoneResistance_Weapon_Largest"
translation "Suffix_Magic_BoneResistance_Weapon_Small","Suffix_Magic_BoneResistance_Weapon_Small"
translation "Suffix_Magic_BoneResistance_Weapon_Medium","Suffix_Magic_BoneResistance_Weapon_Medium"
translation "Suffix_Magic_BoneResistance_Weapon_Larger","Suffix_Magic_BoneResistance_Weapon_Larger"
translation "Suffix_Magic_BoneResistance_Weapon_Largest","Suffix_Magic_BoneResistance_Weapon_Largest"
translation "Prefix_Magic_Sight_Weapon_Small","Prefix_Magic_Sight_Weapon_Small"
translation "Prefix_Magic_Sight_Weapon_Medium","Prefix_Magic_Sight_Weapon_Medium"
translation "Prefix_Magic_Sight_Weapon_Larger","Prefix_Magic_Sight_Weapon_Larger"
translation "Prefix_Magic_Sight_Weapon_Largest","Prefix_Magic_Sight_Weapon_Largest"
translation "Suffix_Magic_Sight_Weapon_Small","Suffix_Magic_Sight_Weapon_Small"
translation "Suffix_Magic_Sight_Weapon_Medium","Suffix_Magic_Sight_Weapon_Medium"
translation "Suffix_Magic_Sight_Weapon_Larger","Suffix_Magic_Sight_Weapon_Larger"
translation "Suffix_Magic_Sight_Weapon_Largest","Suffix_Magic_Sight_Weapon_Largest"
translation "Prefix_Magic_Hearing_Weapon_Small","Prefix_Magic_Hearing_Weapon_Small"
translation "Prefix_Magic_Hearing_Weapon_Medium","Prefix_Magic_Hearing_Weapon_Medium"
translation "Prefix_Magic_Hearing_Weapon_Larger","Prefix_Magic_Hearing_Weapon_Larger"
translation "Prefix_Magic_Hearing_Weapon_Largest","Prefix_Magic_Hearing_Weapon_Largest"
translation "Suffix_Magic_Hearing_Weapon_Small","Suffix_Magic_Hearing_Weapon_Small"
translation "Suffix_Magic_Hearing_Weapon_Medium","Suffix_Magic_Hearing_Weapon_Medium"
translation "Suffix_Magic_Hearing_Weapon_Larger","Suffix_Magic_Hearing_Weapon_Larger"
translation "Suffix_Magic_Hearing_Weapon_Largest","Suffix_Magic_Hearing_Weapon_Largest"
translation "Prefix_Magic_Vitality_Weapon_Small","Prefix_Magic_Vitality_Weapon_Small"
translation "Prefix_Magic_Vitality_Weapon_Medium","Prefix_Magic_Vitality_Weapon_Medium"
translation "Prefix_Magic_Vitality_Weapon_Larger","Prefix_Magic_Vitality_Weapon_Larger"
translation "Prefix_Magic_Vitality_Weapon_Largest","Prefix_Magic_Vitality_Weapon_Largest"
translation "Suffix_Magic_Vitality_Weapon_Small","Suffix_Magic_Vitality_Weapon_Small"
translation "Suffix_Magic_Vitality_Weapon_Medium","Suffix_Magic_Vitality_Weapon_Medium"
translation "Suffix_Magic_Vitality_Weapon_Larger","Suffix_Magic_Vitality_Weapon_Larger"
translation "Suffix_Magic_Vitality_Weapon_Largest","Suffix_Magic_Vitality_Weapon_Largest"
translation "Prefix_Magic_MagicPoints_Weapon_Small","Prefix_Magic_MagicPoints_Weapon_Small"
translation "Prefix_Magic_MagicPoints_Weapon_Medium","Prefix_Magic_MagicPoints_Weapon_Medium"
translation "Prefix_Magic_MagicPoints_Weapon_Larger","Prefix_Magic_MagicPoints_Weapon_Larger"
translation "Prefix_Magic_MagicPoints_Weapon_Largest","Prefix_Magic_MagicPoints_Weapon_Largest"
translation "Suffix_Magic_MagicPoints_Weapon_Small","Suffix_Magic_MagicPoints_Weapon_Small"
translation "Suffix_Magic_MagicPoints_Weapon_Medium","Suffix_Magic_MagicPoints_Weapon_Medium"
translation "Suffix_Magic_MagicPoints_Weapon_Larger","Suffix_Magic_MagicPoints_Weapon_Larger"
translation "Suffix_Magic_MagicPoints_Weapon_Largest","Suffix_Magic_MagicPoints_Weapon_Largest"
translation "Prefix_Magic_Evasion_Weapon_Small","Prefix_Magic_Evasion_Weapon_Small"
translation "Prefix_Magic_Evasion_Weapon_Medium","Prefix_Magic_Evasion_Weapon_Medium"
translation "Prefix_Magic_Evasion_Weapon_Larger","Prefix_Magic_Evasion_Weapon_Larger"
translation "Prefix_Magic_Evasion_Weapon_Largest","Prefix_Magic_Evasion_Weapon_Largest"
translation "Suffix_Magic_Evasion_Weapon_Small","Suffix_Magic_Evasion_Weapon_Small"
translation "Suffix_Magic_Evasion_Weapon_Medium","Suffix_Magic_Evasion_Weapon_Medium"
translation "Suffix_Magic_Evasion_Weapon_Larger","Suffix_Magic_Evasion_Weapon_Larger"
translation "Suffix_Magic_Evasion_Weapon_Largest","Suffix_Magic_Evasion_Weapon_Largest"
translation "Prefix_Magic_ArmorDefense_Shield_Small","Prefix_Magic_ArmorDefense_Shield_Small"
translation "Prefix_Magic_ArmorDefense_Shield_Medium","Prefix_Magic_ArmorDefense_Shield_Medium"
translation "Prefix_Magic_ArmorDefense_Shield_Larger","Prefix_Magic_ArmorDefense_Shield_Larger"
translation "Prefix_Magic_ArmorDefense_Shield_Largest","Prefix_Magic_ArmorDefense_Shield_Largest"
translation "Suffix_Magic_ArmorDefense_Shield_Small","Suffix_Magic_ArmorDefense_Shield_Small"
translation "Suffix_Magic_ArmorDefense_Shield_Medium","Suffix_Magic_ArmorDefense_Shield_Medium"
translation "Suffix_Magic_ArmorDefense_Shield_Larger","Suffix_Magic_ArmorDefense_Shield_Larger"
translation "Suffix_Magic_ArmorDefense_Shield_Largest","Suffix_Magic_ArmorDefense_Shield_Largest"
translation "Prefix_Magic_Speed_Shield_Small","Prefix_Magic_Speed_Shield_Small"
translation "Prefix_Magic_Speed_Shield_Medium","Prefix_Magic_Speed_Shield_Medium"
translation "Prefix_Magic_Speed_Shield_Larger","Prefix_Magic_Speed_Shield_Larger"
translation "Prefix_Magic_Speed_Shield_Largest","Prefix_Magic_Speed_Shield_Largest"
translation "Suffix_Magic_Speed_Shield_Small","Suffix_Magic_Speed_Shield_Small"
translation "Suffix_Magic_Speed_Shield_Medium","Suffix_Magic_Speed_Shield_Medium"
translation "Suffix_Magic_Speed_Shield_Larger","Suffix_Magic_Speed_Shield_Larger"
translation "Suffix_Magic_Speed_Shield_Largest","Suffix_Magic_Speed_Shield_Largest"
translation "Prefix_Magic_Initiative_Shield_Small","Prefix_Magic_Initiative_Shield_Small"
translation "Prefix_Magic_Initiative_Shield_Medium","Prefix_Magic_Initiative_Shield_Medium"
translation "Prefix_Magic_Initiative_Shield_Larger","Prefix_Magic_Initiative_Shield_Larger"
translation "Prefix_Magic_Initiative_Shield_Largest","Prefix_Magic_Initiative_Shield_Largest"
translation "Suffix_Magic_Initiative_Shield_Small","Suffix_Magic_Initiative_Shield_Small"
translation "Suffix_Magic_Initiative_Shield_Medium","Suffix_Magic_Initiative_Shield_Medium"
